"Form type","Form description","Filing date","Reporting date"
"4","Statement of changes in beneficial ownership of securities","2011-02-03","2011-01-31"
"4","Statement of changes in beneficial ownership of securities","2011-02-03","2011-01-31"
"4","Statement of changes in beneficial ownership of securities","2011-02-03","2011-01-31"
"4","Statement of changes in beneficial ownership of securities","2011-02-03","2011-01-27"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2011-02-03",""
"4","Statement of changes in beneficial ownership of securities","2011-02-04","2010-10-05"
"4","Statement of changes in beneficial ownership of securities","2011-02-04","2011-01-31"
"4","Statement of changes in beneficial ownership of securities","2011-02-07","2011-01-31"
"CORRESP","Correspondence","2011-02-08",""
"4","Statement of changes in beneficial ownership of securities","2011-02-09","2011-02-07"
"4","Statement of changes in beneficial ownership of securities","2011-02-10","2011-02-08"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2011-02-14",""
"4","Statement of changes in beneficial ownership of securities","2011-02-24","2011-02-23"
"4","Statement of changes in beneficial ownership of securities","2011-02-24","2011-02-23"
"4","Statement of changes in beneficial ownership of securities","2011-02-24","2011-02-23"
"4","Statement of changes in beneficial ownership of securities","2011-02-24","2011-02-23"
"4","Statement of changes in beneficial ownership of securities","2011-02-24","2011-02-23"
"4","Statement of changes in beneficial ownership of securities","2011-02-24","2011-02-23"
"8-K","Current report","2011-02-24","2011-02-23"
"4","Statement of changes in beneficial ownership of securities","2011-03-03","2011-03-01"
"4","Statement of changes in beneficial ownership of securities","2011-03-14","2011-03-10"
"UPLOAD","SEC-generated letter","2011-03-23",""
"CORRESP","Correspondence","2011-03-28",""
"4","Statement of changes in beneficial ownership of securities","2011-04-04","2011-04-01"
"4","Statement of changes in beneficial ownership of securities","2011-04-19","2011-04-15"
"4","Statement of changes in beneficial ownership of securities","2011-04-19","2011-04-15"
"8-K","Current report","2011-04-20","2011-04-20"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2011-04-21","2011-03-26"
"UPLOAD","SEC-generated letter","2011-04-25",""
"4","Statement of changes in beneficial ownership of securities","2011-04-26","2011-04-25"
"4","Statement of changes in beneficial ownership of securities","2011-04-26","2011-04-25"
"4","Statement of changes in beneficial ownership of securities","2011-04-28","2011-04-28"
"4","Statement of changes in beneficial ownership of securities","2011-05-04","2011-05-03"
"4","Statement of changes in beneficial ownership of securities","2011-05-04","2011-05-02"
"4","Statement of changes in beneficial ownership of securities","2011-05-23","2011-05-20"
"4","Statement of changes in beneficial ownership of securities","2011-06-01","2011-05-25"
"4","Statement of changes in beneficial ownership of securities","2011-06-02","2011-06-01"
"8-K","Current report","2011-06-15","2011-06-12"
"UPLOAD","SEC-generated letter","2011-06-29",""
"4","Statement of changes in beneficial ownership of securities","2011-07-05","2011-07-01"
"4","Statement of changes in beneficial ownership of securities","2011-07-07","2011-07-06"
"CORRESP","Correspondence","2011-07-12",""
"UPLOAD","SEC-generated letter","2011-07-19",""
"8-K","Current report","2011-07-19","2011-07-19"
"4","Statement of changes in beneficial ownership of securities","2011-07-20","2011-07-19"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2011-07-20","2011-06-25"
"4","Statement of changes in beneficial ownership of securities","2011-07-27","2011-07-25"
"4","Statement of changes in beneficial ownership of securities","2011-07-27","2011-07-25"
"CORRESP","Correspondence","2011-08-01",""
"4","Statement of changes in beneficial ownership of securities","2011-08-02","2011-08-01"
"4","Statement of changes in beneficial ownership of securities","2011-08-02","2011-07-29"
"4","Statement of changes in beneficial ownership of securities","2011-08-02","2011-07-29"
"4","Statement of changes in beneficial ownership of securities","2011-08-08","2011-08-05"
"UPLOAD","SEC-generated letter","2011-08-17",""
"4","Statement of changes in beneficial ownership of securities","2011-08-26","2011-08-24"
"8-K","Current report","2011-08-26","2011-08-24"
"4","Statement of changes in beneficial ownership of securities","2011-09-02","2011-09-01"
"4","Statement of changes in beneficial ownership of securities","2011-09-02","2011-09-02"
"3","Initial statement of beneficial ownership of securities","2011-09-02","2011-09-01"
"4","Statement of changes in beneficial ownership of securities","2011-09-13","2011-09-11"
"4","Statement of changes in beneficial ownership of securities","2011-09-19","2011-09-16"
"4","Statement of changes in beneficial ownership of securities","2011-09-23","2011-09-21"
"4","Statement of changes in beneficial ownership of securities","2011-10-04","2011-10-03"
"8-K","Current report","2011-10-06","2011-10-05"
"4","Statement of changes in beneficial ownership of securities","2011-10-12","2011-10-10"
"4","Statement of changes in beneficial ownership of securities","2011-10-12","2011-10-11"
"4","Statement of changes in beneficial ownership of securities","2011-10-18","2011-10-15"
"4","Statement of changes in beneficial ownership of securities","2011-10-18","2011-10-15"
"4","Statement of changes in beneficial ownership of securities","2011-10-18","2011-10-15"
"8-K","Current report","2011-10-18","2011-10-18"
"4","Statement of changes in beneficial ownership of securities","2011-10-20","2011-10-15"
"4","Statement of changes in beneficial ownership of securities","2011-10-20","2011-10-18"
"4","Statement of changes in beneficial ownership of securities","2011-10-24","2011-10-21"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2011-10-26","2011-09-24"
"4","Statement of changes in beneficial ownership of securities","2011-11-03","2011-11-01"
"4","Statement of changes in beneficial ownership of securities","2011-11-03","2011-11-01"
"4","Statement of changes in beneficial ownership of securities","2011-11-04","2011-11-02"
"4","Statement of changes in beneficial ownership of securities","2011-11-04","2011-11-02"
"4","Statement of changes in beneficial ownership of securities","2011-11-04","2011-11-02"
"4","Statement of changes in beneficial ownership of securities","2011-11-04","2011-11-02"
"4","Statement of changes in beneficial ownership of securities","2011-11-04","2011-11-02"
"4","Statement of changes in beneficial ownership of securities","2011-11-04","2011-11-02"
"4","Statement of changes in beneficial ownership of securities","2011-11-04","2011-11-02"
"3","Initial statement of beneficial ownership of securities","2011-11-16","2011-11-15"
"8-K","Current report","2011-11-16","2011-11-15"
"4","Statement of changes in beneficial ownership of securities","2011-11-17","2011-11-15"
"4","Statement of changes in beneficial ownership of securities","2011-11-22","2011-11-21"
"4","Statement of changes in beneficial ownership of securities","2011-11-30","2011-11-29"
"4","Statement of changes in beneficial ownership of securities","2011-12-02","2011-12-01"
"4","Statement of changes in beneficial ownership of securities","2011-12-27","2011-12-23"
"4","Statement of changes in beneficial ownership of securities","2012-01-04","2011-12-30"
"4","Statement of changes in beneficial ownership of securities","2012-01-04","2012-01-03"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2012-01-09",""
"DEF 14A","Other definitive proxy statements","2012-01-09","2012-02-23"
"8-K","Current report","2012-01-24","2012-01-24"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2012-01-25","2011-12-31"
"S-8","Securities to be offered to employees in employee benefit plans","2012-01-26",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2012-01-27",""
"4","Statement of changes in beneficial ownership of securities","2012-01-31","2012-01-30"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-01-31"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-01-31"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-01-31"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-01-31"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-01-31"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-01-31"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-01-31"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-01-31"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-02-01"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-02-01"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-02-01"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-02-01"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-02-01"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-02-01"
"4","Statement of changes in beneficial ownership of securities","2012-02-02","2012-02-01"
"4","Statement of changes in beneficial ownership of securities","2012-02-09","2012-02-08"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2012-02-09",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2012-02-13",""
"4","Statement of changes in beneficial ownership of securities","2012-02-14","2012-02-13"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2012-02-14",""
"4","Statement of changes in beneficial ownership of securities","2012-02-24","2012-02-23"
"4","Statement of changes in beneficial ownership of securities","2012-02-24","2012-02-23"
"4","Statement of changes in beneficial ownership of securities","2012-02-24","2012-02-23"
"4","Statement of changes in beneficial ownership of securities","2012-02-24","2012-02-23"
"4","Statement of changes in beneficial ownership of securities","2012-02-24","2012-02-23"
"4","Statement of changes in beneficial ownership of securities","2012-02-24","2012-02-23"
"4","Statement of changes in beneficial ownership of securities","2012-02-24","2012-02-23"
"8-K","Current report","2012-02-27","2012-02-23"
"4","Statement of changes in beneficial ownership of securities","2012-03-12","2012-03-10"
"4","Statement of changes in beneficial ownership of securities","2012-03-27","2012-03-24"
"4","Statement of changes in beneficial ownership of securities","2012-03-27","2012-03-24"
"4","Statement of changes in beneficial ownership of securities","2012-03-27","2012-03-24"
"4","Statement of changes in beneficial ownership of securities","2012-03-27","2012-03-24"
"4","Statement of changes in beneficial ownership of securities","2012-03-27","2012-03-24"
"4","Statement of changes in beneficial ownership of securities","2012-04-17","2012-04-15"
"4","Statement of changes in beneficial ownership of securities","2012-04-17","2012-04-15"
"4","Statement of changes in beneficial ownership of securities","2012-04-17","2012-04-15"
"8-K","Current report","2012-04-24","2012-04-24"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2012-04-25","2012-03-31"
"4","Statement of changes in beneficial ownership of securities","2012-04-25","2012-04-20"
"3","Initial statement of beneficial ownership of securities","2012-04-25","2012-04-20"
"S-8","Securities to be offered to employees in employee benefit plans","2012-04-26",""
"4","Statement of changes in beneficial ownership of securities","2012-04-30","2012-04-27"
"4","Statement of changes in beneficial ownership of securities","2012-04-30","2012-04-27"
"4","Statement of changes in beneficial ownership of securities","2012-05-09","2012-05-08"
"4","Statement of changes in beneficial ownership of securities","2012-05-10","2012-05-09"
"8-K","Current report","2012-05-24","2012-05-24"
"8-K","Current report","2012-06-28","2012-06-28"
"8-K","Current report","2012-07-24","2012-07-24"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2012-07-25","2012-06-30"
"4","Statement of changes in beneficial ownership of securities","2012-07-31","2012-07-30"
"4","Statement of changes in beneficial ownership of securities","2012-08-09","2012-08-08"
"3","Initial statement of beneficial ownership of securities","2012-09-04","2012-08-24"
"3","Initial statement of beneficial ownership of securities","2012-09-04","2012-08-24"
"4","Statement of changes in beneficial ownership of securities","2012-09-04","2012-08-31"
"4","Statement of changes in beneficial ownership of securities","2012-09-13","2012-09-11"
"4","Statement of changes in beneficial ownership of securities","2012-09-18","2012-09-15"
"4","Statement of changes in beneficial ownership of securities","2012-09-25","2012-09-21"
"4","Statement of changes in beneficial ownership of securities","2012-10-17","2012-10-15"
"4","Statement of changes in beneficial ownership of securities","2012-10-17","2012-10-15"
"4","Statement of changes in beneficial ownership of securities","2012-10-17","2012-10-15"
"4","Statement of changes in beneficial ownership of securities","2012-10-17","2012-10-15"
"4","Statement of changes in beneficial ownership of securities","2012-10-17","2012-10-15"
"4","Statement of changes in beneficial ownership of securities","2012-10-23","2012-10-20"
"8-K","Current report","2012-10-25","2012-10-25"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2012-10-31","2012-09-29"
"S-8","Securities to be offered to employees in employee benefit plans","2012-11-01",""
"4","Statement of changes in beneficial ownership of securities","2012-11-02","2012-11-01"
"4","Statement of changes in beneficial ownership of securities","2012-11-09","2012-11-08"
"4","Statement of changes in beneficial ownership of securities","2012-11-09","2012-11-08"
"4","Statement of changes in beneficial ownership of securities","2012-11-16","2012-11-15"
"4","Statement of changes in beneficial ownership of securities","2012-11-20","2012-11-19"
"4","Statement of changes in beneficial ownership of securities","2012-11-29","2012-11-28"
"4","Statement of changes in beneficial ownership of securities","2012-12-04","2012-11-30"
"4","Statement of changes in beneficial ownership of securities","2012-12-18","2012-11-30"
"4","Statement of changes in beneficial ownership of securities","2012-12-18","2012-12-15"
"PRE 14A","Other preliminary proxy statements","2012-12-27","2013-02-27"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2013-01-07",""
"DEF 14A","Other definitive proxy statements","2013-01-07","2013-02-27"
"4","Statement of changes in beneficial ownership of securities","2013-01-17","2013-01-15"
"8-K","Current report","2013-01-23","2013-01-23"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2013-01-24","2012-12-29"
"4","Statement of changes in beneficial ownership of securities","2013-02-04","2013-01-31"
"4","Statement of changes in beneficial ownership of securities","2013-02-04","2013-01-31"
"4","Statement of changes in beneficial ownership of securities","2013-02-04","2013-01-31"
"4","Statement of changes in beneficial ownership of securities","2013-02-04","2013-01-31"
"4","Statement of changes in beneficial ownership of securities","2013-02-04","2013-01-31"
"4","Statement of changes in beneficial ownership of securities","2013-02-04","2013-01-31"
"4","Statement of changes in beneficial ownership of securities","2013-02-04","2013-02-01"
"4","Statement of changes in beneficial ownership of securities","2013-02-04","2013-02-01"
"4","Statement of changes in beneficial ownership of securities","2013-02-04","2013-02-01"
"4","Statement of changes in beneficial ownership of securities","2013-02-04","2013-02-01"
"4","Statement of changes in beneficial ownership of securities","2013-02-04","2013-02-01"
"4","Statement of changes in beneficial ownership of securities","2013-02-04","2013-02-01"
"4","Statement of changes in beneficial ownership of securities","2013-02-04","2013-02-01"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2013-02-04",""
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2013-02-07",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2013-02-07",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2013-02-08",""
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2013-02-12",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2013-02-14",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2013-02-21",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2013-02-21",""
"4","Statement of changes in beneficial ownership of securities","2013-02-28","2013-02-27"
"4","Statement of changes in beneficial ownership of securities","2013-02-28","2013-02-27"
"4","Statement of changes in beneficial ownership of securities","2013-02-28","2013-02-27"
"4","Statement of changes in beneficial ownership of securities","2013-02-28","2013-02-27"
"4","Statement of changes in beneficial ownership of securities","2013-02-28","2013-02-27"
"4","Statement of changes in beneficial ownership of securities","2013-02-28","2013-02-27"
"4","Statement of changes in beneficial ownership of securities","2013-02-28","2013-02-27"
"8-K","Current report","2013-03-01","2013-02-27"
"4","Statement of changes in beneficial ownership of securities","2013-03-19","2013-03-15"
"4","Statement of changes in beneficial ownership of securities","2013-03-19","2013-03-15"
"4","Statement of changes in beneficial ownership of securities","2013-04-17","2013-04-15"
"4","Statement of changes in beneficial ownership of securities","2013-04-17","2013-04-15"
"4","Statement of changes in beneficial ownership of securities","2013-04-17","2013-04-15"
"4","Statement of changes in beneficial ownership of securities","2013-04-17","2013-04-15"
"8-K","Current report","2013-04-23","2013-04-23"
"8-K","Current report","2013-04-23","2013-04-23"
"8-K","Current report","2013-04-24","2013-04-24"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2013-04-24","2013-03-30"
"4","Statement of changes in beneficial ownership of securities","2013-04-26","2013-04-24"
"3","Initial statement of beneficial ownership of securities","2013-04-26","2013-04-19"
"S-3ASR","Automatic shelf registration statement of securities of well-known seasoned issuers","2013-04-29",""
"424B2","Prospectus [Rule 424(b)(2)]","2013-04-30",""
"424B2","Prospectus [Rule 424(b)(2)]","2013-05-01",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2013-05-01",""
"8-K","Current report","2013-05-03","2013-04-30"
"UPLOAD","SEC-generated letter","2013-06-13",""
"4","Statement of changes in beneficial ownership of securities","2013-06-18","2013-06-15"
"4/A","Statement of changes in beneficial ownership of securities - amendment","2013-06-21","2013-06-21"
"4","Statement of changes in beneficial ownership of securities","2013-06-21","2013-06-21"
"4","Statement of changes in beneficial ownership of securities","2013-06-21","2013-06-21"
"4","Statement of changes in beneficial ownership of securities","2013-06-21","2013-06-21"
"4","Statement of changes in beneficial ownership of securities","2013-06-21","2013-06-21"
"4","Statement of changes in beneficial ownership of securities","2013-06-21","2013-06-21"
"4","Statement of changes in beneficial ownership of securities","2013-06-21","2013-06-21"
"8-K","Current report","2013-06-21","2013-06-21"
"CORRESP","Correspondence","2013-06-24",""
"4","Statement of changes in beneficial ownership of securities","2013-06-26","2013-06-24"
"4","Statement of changes in beneficial ownership of securities","2013-06-26","2013-06-24"
"UPLOAD","SEC-generated letter","2013-07-09",""
"CORRESP","Correspondence","2013-07-22",""
"8-K","Current report","2013-07-23","2013-07-23"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2013-07-24","2013-06-29"
"4","Statement of changes in beneficial ownership of securities","2013-07-26","2013-07-24"
"8-K","Current report","2013-07-30","2013-07-25"
"4","Statement of changes in beneficial ownership of securities","2013-07-31","2013-07-29"
"4","Statement of changes in beneficial ownership of securities","2013-07-31","2013-07-29"
"4","Statement of changes in beneficial ownership of securities","2013-08-16","2013-08-14"
"4","Statement of changes in beneficial ownership of securities","2013-08-16","2013-08-14"
"4","Statement of changes in beneficial ownership of securities","2013-08-27","2013-08-24"
"4","Statement of changes in beneficial ownership of securities","2013-08-27","2013-08-24"
"4","Statement of changes in beneficial ownership of securities","2013-09-06","2013-09-04"
"UPLOAD","SEC-generated letter","2013-09-06",""
"4","Statement of changes in beneficial ownership of securities","2013-09-17","2013-09-15"
"8-K","Current report","2013-09-23","2013-09-23"
"4","Statement of changes in beneficial ownership of securities","2013-09-24","2013-09-21"
"4","Statement of changes in beneficial ownership of securities","2013-10-09","2013-10-07"
"4","Statement of changes in beneficial ownership of securities","2013-10-17","2013-10-15"
"4","Statement of changes in beneficial ownership of securities","2013-10-17","2013-10-15"
"4","Statement of changes in beneficial ownership of securities","2013-10-17","2013-10-15"
"4","Statement of changes in beneficial ownership of securities","2013-10-17","2013-10-15"
"8-K","Current report","2013-10-28","2013-10-28"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2013-10-30","2013-09-28"
"4","Statement of changes in beneficial ownership of securities","2013-11-01","2013-10-31"
"4","Statement of changes in beneficial ownership of securities","2013-11-06","2013-11-05"
"4","Statement of changes in beneficial ownership of securities","2013-11-22","2013-11-20"
"DFAN14A","Additional definitive proxy soliciting materials filed by non-management and Rule 14(a)(12) material","2013-12-04",""
"NO ACT","No Action Letter","2013-12-17","2013-10-18"
"4","Statement of changes in beneficial ownership of securities","2013-12-20","2013-12-17"
"4","Statement of changes in beneficial ownership of securities","2013-12-26","2013-12-23"
"4","Statement of changes in beneficial ownership of securities","2013-12-26","2013-12-23"
"PRE 14A","Other preliminary proxy statements","2013-12-27","2014-02-28"
"4","Statement of changes in beneficial ownership of securities","2014-01-03","2013-12-31"
"NO ACT","No Action Letter","2014-01-08","2013-12-20"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2014-01-10",""
"DEF 14A","Other definitive proxy statements","2014-01-10","2014-02-28"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2014-01-23",""
"4","Statement of changes in beneficial ownership of securities","2014-01-27","2014-01-23"
"8-K","Current report","2014-01-27","2014-01-27"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2014-01-28","2013-12-28"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2014-01-28",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2014-01-28",""
"S-8","Securities to be offered to employees in employee benefit plans","2014-01-31",""
"4","Statement of changes in beneficial ownership of securities","2014-02-04","2014-02-01"
"4","Statement of changes in beneficial ownership of securities","2014-02-04","2014-02-01"
"4","Statement of changes in beneficial ownership of securities","2014-02-04","2014-02-01"
"4","Statement of changes in beneficial ownership of securities","2014-02-04","2014-02-01"
"4","Statement of changes in beneficial ownership of securities","2014-02-04","2014-02-01"
"4","Statement of changes in beneficial ownership of securities","2014-02-04","2014-02-01"
"4","Statement of changes in beneficial ownership of securities","2014-02-04","2014-02-01"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2014-02-07",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2014-02-07",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2014-02-10",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2014-02-10",""
"4","Statement of changes in beneficial ownership of securities","2014-02-12","2014-01-31"
"4","Statement of changes in beneficial ownership of securities","2014-02-12","2014-01-31"
"4","Statement of changes in beneficial ownership of securities","2014-02-12","2014-01-31"
"4","Statement of changes in beneficial ownership of securities","2014-02-12","2014-01-31"
"4","Statement of changes in beneficial ownership of securities","2014-02-12","2013-10-15"
"4","Statement of changes in beneficial ownership of securities","2014-02-27","2014-02-25"
"4","Statement of changes in beneficial ownership of securities","2014-03-04","2014-02-28"
"4","Statement of changes in beneficial ownership of securities","2014-03-04","2014-02-28"
"4","Statement of changes in beneficial ownership of securities","2014-03-04","2014-02-28"
"4","Statement of changes in beneficial ownership of securities","2014-03-04","2014-02-28"
"4","Statement of changes in beneficial ownership of securities","2014-03-04","2014-02-28"
"4","Statement of changes in beneficial ownership of securities","2014-03-04","2014-02-28"
"4","Statement of changes in beneficial ownership of securities","2014-03-04","2014-02-28"
"4","Statement of changes in beneficial ownership of securities","2014-03-05","2014-03-03"
"4","Statement of changes in beneficial ownership of securities","2014-03-05","2014-03-03"
"4","Statement of changes in beneficial ownership of securities","2014-03-05","2014-03-03"
"4","Statement of changes in beneficial ownership of securities","2014-03-05","2014-03-03"
"4","Statement of changes in beneficial ownership of securities","2014-03-05","2014-03-03"
"4","Statement of changes in beneficial ownership of securities","2014-03-05","2014-03-03"
"8-K","Current report","2014-03-05","2014-02-28"
"4","Statement of changes in beneficial ownership of securities","2014-03-06","2014-03-04"
"4","Statement of changes in beneficial ownership of securities","2014-03-11","2014-03-07"
"4","Statement of changes in beneficial ownership of securities","2014-03-18","2014-03-15"
"4","Statement of changes in beneficial ownership of securities","2014-03-31","2014-03-27"
"4","Statement of changes in beneficial ownership of securities","2014-04-17","2014-04-15"
"4","Statement of changes in beneficial ownership of securities","2014-04-17","2014-04-15"
"4","Statement of changes in beneficial ownership of securities","2014-04-17","2014-04-15"
"8-K","Current report","2014-04-23","2014-04-23"
"8-K","Current report","2014-04-23","2014-04-23"
"4","Statement of changes in beneficial ownership of securities","2014-04-24","2014-04-22"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2014-04-24","2014-03-29"
"S-8","Securities to be offered to employees in employee benefit plans","2014-04-25",""
"4","Statement of changes in beneficial ownership of securities","2014-04-28","2014-04-24"
"424B2","Prospectus [Rule 424(b)(2)]","2014-04-29",""
"424B2","Prospectus [Rule 424(b)(2)]","2014-04-30",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2014-04-30",""
"4","Statement of changes in beneficial ownership of securities","2014-05-05","2014-05-01"
"3","Initial statement of beneficial ownership of securities","2014-05-05","2014-05-01"
"8-K","Current report","2014-05-06","2014-04-29"
"SD","Form - SD","2014-05-29",""
"4","Statement of changes in beneficial ownership of securities","2014-05-30","2014-05-29"
"4","Statement of changes in beneficial ownership of securities","2014-05-30","2014-05-28"
"8-K","Current report","2014-05-30","2014-05-29"
"4","Statement of changes in beneficial ownership of securities","2014-06-03","2014-05-30"
"4","Statement of changes in beneficial ownership of securities","2014-06-03","2014-06-01"
"8-K","Current report","2014-06-06","2014-06-06"
"4","Statement of changes in beneficial ownership of securities","2014-06-26","2014-06-24"
"4","Statement of changes in beneficial ownership of securities","2014-07-17","2014-07-15"
"3","Initial statement of beneficial ownership of securities","2014-07-17","2014-07-15"
"8-K","Current report","2014-07-17","2014-07-15"
"8-K","Current report","2014-07-22","2014-07-22"
"8-K","Current report","2014-07-23","2014-07-23"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2014-07-23","2014-06-28"
"4","Statement of changes in beneficial ownership of securities","2014-07-25","2014-07-23"
"4","Statement of changes in beneficial ownership of securities","2014-08-12","2014-08-08"
"4","Statement of changes in beneficial ownership of securities","2014-08-26","2014-08-24"
"4","Statement of changes in beneficial ownership of securities","2014-09-08","2014-09-04"
"4","Statement of changes in beneficial ownership of securities","2014-09-11","2014-09-09"
"4","Statement of changes in beneficial ownership of securities","2014-09-17","2014-09-15"
"4","Statement of changes in beneficial ownership of securities","2014-09-23","2014-09-21"
"4","Statement of changes in beneficial ownership of securities","2014-09-23","2014-09-21"
"4","Statement of changes in beneficial ownership of securities","2014-09-23","2014-09-21"
"4","Statement of changes in beneficial ownership of securities","2014-09-23","2014-09-21"
"4","Statement of changes in beneficial ownership of securities","2014-09-23","2014-08-21"
"4","Statement of changes in beneficial ownership of securities","2014-10-17","2014-10-15"
"4","Statement of changes in beneficial ownership of securities","2014-10-17","2014-10-15"
"4","Statement of changes in beneficial ownership of securities","2014-10-17","2014-10-15"
"8-K","Current report","2014-10-20","2014-10-20"
"4","Statement of changes in beneficial ownership of securities","2014-10-21","2014-10-17"
"4","Statement of changes in beneficial ownership of securities","2014-10-21","2014-10-17"
"4","Statement of changes in beneficial ownership of securities","2014-10-21","2014-10-17"
"4","Statement of changes in beneficial ownership of securities","2014-10-21","2014-10-17"
"4","Statement of changes in beneficial ownership of securities","2014-10-21","2014-10-17"
"4","Statement of changes in beneficial ownership of securities","2014-10-21","2014-10-17"
"4","Statement of changes in beneficial ownership of securities","2014-10-21","2014-10-17"
"4","Statement of changes in beneficial ownership of securities","2014-10-21","2014-10-17"
"4","Statement of changes in beneficial ownership of securities","2014-10-23","2014-10-21"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2014-10-27","2014-09-27"
"4","Statement of changes in beneficial ownership of securities","2014-10-31","2014-10-30"
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2014-11-04",""
"424B2","Prospectus [Rule 424(b)(2)]","2014-11-04",""
"424B2","Prospectus [Rule 424(b)(2)]","2014-11-05",""
"4","Statement of changes in beneficial ownership of securities","2014-11-07","2014-11-05"
"8-K","Current report","2014-11-10","2014-11-04"
"8-A12B","Registration of securities [Section 12(b)]","2014-11-12",""
"CERTNYS","Certification by the New York Stock Exchange approving securities for listing","2014-11-13",""
"4","Statement of changes in beneficial ownership of securities","2014-11-21","2014-11-20"
"4","Statement of changes in beneficial ownership of securities","2014-11-25","2014-11-21"
"NO ACT","No Action Letter","2014-12-04","2014-10-31"
"NO ACT","No Action Letter","2014-12-11","2014-10-31"
"4","Statement of changes in beneficial ownership of securities","2014-12-23","2014-12-19"
"NO ACT","No Action Letter","2014-12-29","2014-10-31"
"NO ACT","No Action Letter","2014-12-30","2014-11-17"
"4","Statement of changes in beneficial ownership of securities","2015-01-02","2014-12-30"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2015-01-22",""
"DEF 14A","Other definitive proxy statements","2015-01-22","2015-03-10"
"4","Statement of changes in beneficial ownership of securities","2015-01-27","2015-01-23"
"8-K","Current report","2015-01-27","2015-01-27"
"8-K","Current report","2015-01-28","2015-01-28"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2015-01-28","2014-12-27"
"3","Initial statement of beneficial ownership of securities","2015-01-30","2015-01-26"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2015-02-02",""
"424B2","Prospectus [Rule 424(b)(2)]","2015-02-02",""
"4","Statement of changes in beneficial ownership of securities","2015-02-03","2015-02-01"
"4","Statement of changes in beneficial ownership of securities","2015-02-03","2015-02-01"
"4","Statement of changes in beneficial ownership of securities","2015-02-03","2015-02-01"
"4","Statement of changes in beneficial ownership of securities","2015-02-03","2015-02-01"
